barcode,category,description,name,pages,price,publishing_affiliate,seller,size,subcategory,url
893497420364,Thiếu Nhi,MẸO CỰC HAY CHO CON TRAI “NÂNG CẤP” BẢN THÂN!,"Kỹ Năng Sống Dành Cho Học Sinh - Mẹo Cực Hay - Con Trai ""Nâng Cấp"" Bản Thân",128,"68,000",,Phương Nam Online,20 x 14 x 0.6,Đạo Đức - Kỹ Năng Sống,https://nhasachphuongnam.com/ky-nang-song-danh-cho-hoc-sinh-meo-cuc-hay-con-trai-nang-cap-ban-than.html
893497420365,Thiếu Nhi,MẸO CỰC HAY CHO HỘI ĐAM MÊ “XÊ DỊCH”!,"Kỹ Năng Sống Dành Cho Học Sinh - Mẹo Cực Hay - Hội Đam Mê ""Xê Dịch""",128,"68,000",,Phương Nam Online,20 x 14 x 0.6,Đạo Đức - Kỹ Năng Sống,https://nhasachphuongnam.com/ky-nang-song-danh-cho-hoc-sinh-meo-cuc-hay-hoi-dam-me-xe-dich.html
893497420363,Thiếu Nhi,MẸO CỰC HAY CHO CON GÁI TỰ TIN SÁNG TẠO!,Kỹ Năng Sống Dành Cho Học Sinh - Mẹo Cực Hay - Con Gái Tự Tin Sáng Tạo,128,"68,000",,Phương Nam Online,20 x 14 x 0.6,Đạo Đức - Kỹ Năng Sống,https://nhasachphuongnam.com/ky-nang-song-danh-cho-hoc-sinh-meo-cuc-hay-con-gai-tu-tin-sang-tao.html
893497420359,Văn Học,"Nửa thế kỷ say mê nghệ thuật cải lương Nam Bộ với tất cả tấm lòng và trái tim, học giả Vương Hồng Sển dành trọn tâm huyết viết nên cuốn sách này. Học giả Vương Hồng Sển vốn là một công chức, nhưng sau ông về hưu sớm để chuyên tâm về văn nghệ. Ông thích khảo cứu về hát bội, cải lương, nghệ thuật chơi cổ ngoạn. Quyển ",Hồi Ký 50 Năm Mê Hát - Năm Mươi Năm Cải Lương (Tái bản năm 2024),352,"230,000",,Phương Nam Online,20 x 14 x 2.5,Hồi Ký/Bút Ký/Chân Dung Nhân Vật,https://nhasachphuongnam.com/hoi-ky-50-nam-me-hat-nam-muoi-nam-cai-luong-tai-ban-nam-2024.html
893497420377,Truyện Tranh/Manga,"Sau nhiều năm sống yên ổn sau những bức tường thành cao lừng lững, loài người đã bắt đầu cảm nhận được nguy cơ diệt vong đến từ một giống loài khổng lồ mang tên Titan. Dù muốn dù không, họ buộc phải đứng lên, và đã đứng lên một cách đầy quyết tâm, mạnh mẽ để chống lại những kẻ thù hùng mạnh nhất.",Attack On Titan - Tập 11,192,"48,000",,Phương Nam Online,19 x 13 x 1,Manga,https://nhasachphuongnam.com/attack-on-titan-tap-11.html
893497420366,Thiếu Nhi,MẸO CỰC HAY ĐỂ SỐNG “XANH” MỖI NGÀY!,"Kỹ Năng Sống Dành Cho Học Sinh - Mẹo Cực Hay - Sống ""Xanh"" Mỗi Ngày",128,"68,000",,Phương Nam Online,20 x 14 x 0.6,Đạo Đức - Kỹ Năng Sống,https://nhasachphuongnam.com/ky-nang-song-danh-cho-hoc-sinh-meo-cuc-hay-song-xanh-moi-ngay.html
893535260661,Truyện Tranh/Manga,"Vui nhộn nhưng không kém phần kịch tính, phần tiếp theo của series tuổi thơ Ninja Hattori - Tân Ninja Hattori sẵn sàng đón một mùa hè đầy lí thú cùng các bạn độc giả!! Tiếp tục với những câu chuyện thú vị về Hattori, Kenichi và những người bạn Ninja, trọn bộ 8 tập của Tân Ninja Hattori sẽ chính thức lên kệ.",Tân Ninja Hattori - Tập 3,176,"25,000",,Phương Nam Online,17.6 x 11.3 x 1,Manga,https://nhasachphuongnam.com/tan-ninja-hattori-tap-3.html
893607167572,Thiếu Nhi,"Khác với những cuốn sách đi sâu đề cập đến các sự việc và hiện tượng theo hướng khoa học thuần túy, ""Mười vạn câu hỏi Vì sao"" đưa ra những chủ đề gần gũi và dễ gây hứng thú đối với trẻ...Qua các mẩu chuyện của những nhân vật đáng yêu rút ra từ tình huống thực tế, trẻ sẽ được giải đáp thỏa đáng những thắc mắc thường gặp trong các lĩnh vực quen thuộc của cuộc sống hằng ngày từ Cơ thể và Cuộc sống, Thế giới tự nhiên, Thế giới động vật cho đến Vũ trụ và Trái đất..",Mười Vạn Câu Hỏi Vì Sao - Thế Giới Tự Nhiên,76,"55,000",Đông A,Phương Nam Online,24 x 16 x 0.5,Kiến Thức Bách Khoa,https://nhasachphuongnam.com/muoi-van-cau-hoi-vi-sao-the-gioi-tu-nhien-vi.html
893506992358,Thể Loại Khác, là ấn phẩm thứ ba thuộc bộ sách ,Cười Và Học Tiếng Anh: 45 Truyện Cười Chơi Chữ Giúp Học Giỏi Tiếng Anh,44,"36,000",,Phương Nam Online,20.5 x 13.5 x 0.5,Sách Học Ngoại Ngữ/Từ Điển,https://nhasachphuongnam.com/cuoi-va-hoc-tieng-anh-45-truyen-cuoi-choi-chu-giup-hoc-gioi-tieng-anh.html
893506992369,Kỹ Năng/Sống Đẹp,"Mọi công việc đều bắt đầu từ ""suy nghĩ"", mọi suy nghĩ đều bắt đầu từ ""sắp xếp tư duy"". Sẽ không quá nếu nói sắp xếp tư duy là yếu tố cần thiết với tất cả người đi làm. Kỹ năng này giúp chúng ta làm việc hiệu quả, nâng cao năng suất làm việc, giảm thời gian làm thêm lãng phí và sống một cuộc sống đầy ý nghĩa. Mỗi một vị trí công việc đều có những yêu cầu nhất định và mỗi cá nhân đều phải cố gắng hoàn thành công việc trong phần trách nhiệm của mình. Và giữa người làm được việc và người không hoàn thành được công việc của mình, có sự khác biệt rất lớn, đó là khả năng tự sắp xếp công việc.",Những Điều Công Ty Không Dạy Bạn - Bí Quyết Sắp Xếp Tư Duy Của Người Làm Việc Năng Suất Cao,208,"75,000",,Phương Nam Online,20.5 x 13.5 x 1,Kỹ Năng Công Việc,https://nhasachphuongnam.com/nhung-dieu-cong-ty-khong-day-ban-bi-quyet-sap-xep-tu-duy-cua-nguoi-lam-viec-nang-suat-cao.html
